Item Number,Picture URL,Name,Description,CTN,QTY per CTN,Unit Price EUR,Product URL,Image URL,Notes,Price CNY,FX Rate,Markup %
1,https://via.placeholder.com/150,Hotel Towel White 70x140cm,100% Cotton Bath Towel 500gsm,10,50,4.50,https://supplier.com/hotel-towel-white,https://via.placeholder.com/150,Pre-washed | Color-fast | 5-star quality,108.00,7.8,28
2,https://via.placeholder.com/150,Pillow Microfiber 48x74cm,Hypoallergenic Hotel Pillow Medium Firm,8,40,5.80,https://supplier.com/pillow-microfiber,https://via.placeholder.com/150,Machine washable | Anti-dust mite,140.00,7.8,26
3,https://via.placeholder.com/150,Bathrobe Terry Cotton L,Luxury White Terry Bathrobe with Belt,6,20,12.50,https://supplier.com/bathrobe-terry-l,https://via.placeholder.com/150,Shawl collar | Double stitched,305.00,7.8,24
4,https://via.placeholder.com/150,Bed Sheet Set Queen White,4-piece 200TC Cotton Sheet Set,12,30,18.00,https://supplier.com/bed-sheet-queen,https://via.placeholder.com/150,Fitted+Flat+2 pillowcases | Hotel grade,438.00,7.8,25
5,https://via.placeholder.com/150,Slippers Disposable Closed Toe,Non-woven Fabric Guest Slippers White,25,500,0.65,https://supplier.com/slippers-disposable,https://via.placeholder.com/150,Anti-slip sole | Individual wrapped,15.00,7.8,35
6,https://via.placeholder.com/150,Shampoo Dispenser 30ml,Hotel Toiletries Shampoo Bottle,30,200,0.85,https://supplier.com/shampoo-dispenser-30ml,https://via.placeholder.com/150,Flip-top cap | Customizable label,20.00,7.8,32
7,https://via.placeholder.com/150,Shower Gel Dispenser 30ml,Body Wash Hotel Amenities Bottle,30,200,0.85,https://supplier.com/shower-gel-30ml,https://via.placeholder.com/150,Fresh scent | Travel size,20.00,7.8,32
8,https://via.placeholder.com/150,Toothbrush Kit with Toothpaste,Disposable Dental Kit Individually Wrapped,40,500,0.45,https://supplier.com/toothbrush-kit,https://via.placeholder.com/150,Soft bristles | Mint toothpaste 5g,10.00,7.8,38
9,https://via.placeholder.com/150,Hair Dryer Wall Mount 1200W,Hotel Bathroom Hair Dryer with Holder,5,20,15.00,https://supplier.com/hair-dryer-wall,https://via.placeholder.com/150,2 speeds | Overheat protection,365.00,7.8,23
10,https://via.placeholder.com/150,Towel Rack Stainless Steel,Double Towel Bar 60cm Wall Mount,15,30,8.20,https://supplier.com/towel-rack-60cm,https://via.placeholder.com/150,Brushed finish | Rust resistant,198.00,7.8,27
11,https://via.placeholder.com/150,Laundry Bag Non-woven Large,Hotel Laundry Bag with Drawstring White,20,200,0.75,https://supplier.com/laundry-bag-large,https://via.placeholder.com/150,Tear resistant | Printed logo option,17.00,7.8,35
12,https://via.placeholder.com/150,Kettle Electric 1.2L Stainless,In-room Guest Kettle Auto Shut-off,8,12,11.50,https://supplier.com/kettle-electric-1.2l,https://via.placeholder.com/150,Fast boil | 1500W | Safety certified,280.00,7.8,26
13,https://via.placeholder.com/150,Soap Dispenser Wall Mount,Liquid Soap Dispenser 500ml Capacity,12,50,3.20,https://supplier.com/soap-dispenser-wall,https://via.placeholder.com/150,Pump mechanism | Clear reservoir,75.00,7.8,30
14,https://via.placeholder.com/150,Tissue Box Holder Acrylic,Transparent Tissue Dispenser Modern Design,18,40,2.80,https://supplier.com/tissue-box-acrylic,https://via.placeholder.com/150,Fits standard boxes | Non-slip base,65.00,7.8,31
15,https://via.placeholder.com/150,Coat Hanger Wooden Non-slip,Hotel Closet Hanger with Bar Natural,16,100,1.20,https://supplier.com/coat-hanger-wooden,https://via.placeholder.com/150,360° hook | Smooth finish,28.00,7.8,33
