Item Number,Picture URL,Name,Description,CTN,QTY per CTN,Unit Price EUR,Product URL,Image URL,Notes,Price CNY,FX Rate,Markup %
1,https://via.placeholder.com/150,Byzantine Incense Frankincense 50g,Pure Mount Athos Monastery Frankincense,20,100,8.50,https://supplier.com/frankincense-50g,https://via.placeholder.com/150,Holy Mountain certified | Premium grade,205.00,7.8,30
2,https://via.placeholder.com/150,Orthodox Prayer Rope 100 Knots,Handmade Wool Prayer Rope with Cross,10,50,12.00,https://supplier.com/prayer-rope-100,https://via.placeholder.com/150,Blessed by monk | Black color,290.00,7.8,28
3,https://via.placeholder.com/150,Icon Stand Wooden Carved,Handcrafted Oak Icon Holder 15x20cm,8,20,18.50,https://supplier.com/icon-stand-carved,https://via.placeholder.com/150,Byzantine style | Natural finish,450.00,7.8,25
4,https://via.placeholder.com/150,Beeswax Candles Set 12pcs,100% Pure Beeswax Church Candles 20cm,30,200,6.20,https://supplier.com/beeswax-candles-set,https://via.placeholder.com/150,Slow burning | Natural honey scent,150.00,7.8,32
5,https://via.placeholder.com/150,Holy Water Bottle Glass 100ml,Byzantine Design Holy Water Container,25,100,4.80,https://supplier.com/holy-water-bottle,https://via.placeholder.com/150,Cork stopper | Gold trim,115.00,7.8,30
6,https://via.placeholder.com/150,Censer Brass Byzantine Style,Traditional Orthodox Thurible 18cm,5,10,45.00,https://supplier.com/brass-censer,https://via.placeholder.com/150,With chains | Handcrafted details,1100.00,7.8,20
7,https://via.placeholder.com/150,Cross Pendant Sterling Silver,Handmade Byzantine Cross with Chain,15,50,22.00,https://supplier.com/silver-cross-pendant,https://via.placeholder.com/150,925 silver | Gift boxed,535.00,7.8,26
8,https://via.placeholder.com/150,Icon Print Gold Leaf Christ,Printed on Wood with Gold Leaf 10x15cm,12,30,15.50,https://supplier.com/icon-print-christ,https://via.placeholder.com/150,Ready to hang | Protective varnish,375.00,7.8,28
9,https://via.placeholder.com/150,Myrrh Oil Essential 10ml,Pure Myrrh Resin Essential Oil,18,100,9.80,https://supplier.com/myrrh-oil-10ml,https://via.placeholder.com/150,Therapeutic grade | Dropper bottle,238.00,7.8,27
10,https://via.placeholder.com/150,Orthodox Study Bible Leather,Premium Leather Bound Bible with Cross,6,20,38.00,https://supplier.com/orthodox-bible-leather,https://via.placeholder.com/150,English translation | Gold edges,925.00,7.8,22
11,https://via.placeholder.com/150,Prayer Book Byzantine Rite,Daily Prayers Orthodox Pocket Edition,20,100,5.50,https://supplier.com/prayer-book-byzantine,https://via.placeholder.com/150,Multilingual | Compact size,130.00,7.8,32
12,https://via.placeholder.com/150,Icon Candle Holder Bronze,Triple Candle Holder for Icons 25cm,8,15,28.00,https://supplier.com/icon-candle-holder,https://via.placeholder.com/150,Antique finish | Stable base,680.00,7.8,24
13,https://via.placeholder.com/150,Rosary Beads Olivewood,Handmade from Holy Land Olive Wood,12,50,14.50,https://supplier.com/rosary-olivewood,https://via.placeholder.com/150,Jerusalem origin | Gift pouch,350.00,7.8,29
14,https://via.placeholder.com/150,Incense Burner Ceramic,Traditional Orthodox Censer with Lid,16,40,11.20,https://supplier.com/incense-burner-ceramic,https://via.placeholder.com/150,Hand-painted | Heat resistant,270.00,7.8,28
15,https://via.placeholder.com/150,Holy Oil Lamp Brass,Hanging Vigil Lamp Byzantine Design,7,12,32.00,https://supplier.com/oil-lamp-brass,https://via.placeholder.com/150,With chain | Glass insert,780.00,7.8,23
